,correlation,mse,noise,label
b11_002_noise_0.5_009,0.09185215741867611,1.1465593296424492,0.5,True-False
b11_002_noise_0.5_010,0.1065814459506902,1.5449046647036944,0.5,True-False
b11_002_noise_0.5_011,0.2904021264201685,0.5785177631094326,0.5,False-False
b11_002_noise_0.5_012,0.165121359964272,0.7798177587817293,0.5,False-False
b11_002_noise_0.5_013,0.146409704230385,0.8085311338671637,0.5,True-False
b11_002_noise_0.5_014,0.11752870530548917,0.5983325253691296,0.5,False-False
b11_000_noise_0.8_000,0.131213638760562,0.8797633577036947,0.8,True-False
b11_000_noise_0.8_001,0.06563832468603661,1.6178205324265658,0.8,False-False
b11_000_noise_0.8_002,0.2378838787959323,1.0553723845823646,0.8,False-False
b11_000_noise_0.8_003,0.25529841214817395,1.1865009335721315,0.8,False-False
b11_000_noise_0.8_004,0.2623107198756559,0.6714071327500872,0.8,True-False
b11_000_noise_0.8_005,0.1314416105106892,1.6925476592830488,0.8,True-False
b11_000_noise_0.8_006,0.08356120827455196,1.433800520274776,0.8,True-False
b11_000_noise_0.8_007,0.17408854045316455,0.7916071402552808,0.8,False-False
b11_000_noise_0.8_008,0.12808163988676746,1.5123426508384765,0.8,True-False
b11_000_noise_0.8_009,0.035577986931762236,1.4396966785909062,0.8,False-False
b11_000_noise_0.8_010,0.007086145548029052,4.3970873355610065,0.8,False-False
