,edge,strength,tval,abstval,pval,logpval,fdr,bfr,distance,inv_dist,include,interaction,cocitation,string,genemania,npath,coexpression,experimental,database,textmining
3473,b-Catenin_STAT5,0.00144512020169514,0.6997452095079211,0.6997452095079211,0.48424934053029606,0.314930962047671,0.6004363062029721,1.0,1.0,0.0,1.0,0,1,293,0.0,41,0,0,0,293
3474,BIM_STAT5,0.000828302939406791,0.7411474770140721,0.7411474770140721,0.458778202073679,0.338397224912031,0.575334212213496,1.0,1.0,1.0,1.0,0,0,0,0.0,15,0,0,0,0
3475,Caveolin_STAT5,0.0360822268825387,12.1994458204647,12.1994458204647,5.21869063560429e-32,31.2824384473929,2.7791516201269695e-31,4.1937397947716e-28,1.0,1.0,1.0,0,0,243,8.1e-05,31,0,0,0,243
3476,CyclinB1_STAT5,-0.0170531251409568,-8.865494180614789,8.865494180614789,3.4373937583409298e-18,17.4637707159629,1.3729073678940199e-17,2.7622896242027697e-14,1.0,1.0,1.0,0,0,922,0.0,9,0,0,900,256
3477,CyclinD1_STAT5,0.00058218754527128,0.23435700827840897,0.23435700827840897,0.814755852626007,0.08897251118923699,0.8731001509138009,1.0,1.0,1.0,1.0,0,3,974,0.00018999999999999998,6,49,67,900,744
3478,GSK3abpS21_STAT5,-0.0158118717800556,-8.72421127416375,8.72421127416375,1.10507373258045e-17,16.956608744074302,4.35312378187082e-17,8.88037251501647e-14,0.0,0.0,0.0,1,1,0,0.00016,3,0,0,0,0
3479,GSKpS9_STAT5,0.00043869105652595,0.132214850091014,0.132214850091014,0.8948409793630459,0.0482541355457633,0.92774378920932,1.0,0.0,0.0,0.0,1,1,0,0.00016,3,0,0,0,0
3480,IGFBP2_STAT5,0.0015129543791164198,0.648944345475434,0.648944345475434,0.516523502412712,0.286909912796956,0.63187438961616,1.0,-2.0,1.0,,0,0,0,0.0,0,0,0,0,0
3481,p38pT180_STAT5,-0.00102618657026091,-0.315642809113742,0.315642809113742,0.752339567668631,0.123586096803354,0.825703464324654,1.0,0.0,0.0,0.0,1,0,0,0.0,3,0,0,0,0
3482,p53_STAT5,0.0159903406200077,19.6748117164226,19.6748117164226,4.31299108838621e-73,72.3652214392036,4.392800555927959e-72,3.4659196386271594e-69,1.0,1.0,1.0,0,4,755,5.3e-05,134,0,0,0,755
3483,p70S6KpT389_STAT5,-0.0179899013467162,-7.103092312262031,7.103092312262031,2.31545204164483e-12,11.6353642098179,7.76260851341586e-12,1.8606972606657802e-08,0.0,1.0,0.0,1,0,0,0.0,3,0,0,0,0
3484,SRCpY527_STAT5,-0.000789513526763283,-0.40644163078669204,0.40644163078669204,0.6845051879545799,0.164623255942689,0.772893591457497,1.0,0.0,1.0,0.0,1,1,0,0.0012,3,0,0,0,0
3485,STAT3pY705_STAT5,0.000309408614397861,0.0858517506417728,0.0858517506417728,0.9316014699858521,0.0307698348580092,0.9523405944289921,1.0,1.0,0.0,1.0,1,32,976,0.00064,69,95,688,900,270
